instance,set,original,md5,bytes
optmass.bch,coconutbenchmark-library2,optmass.bch,49d735f83607cd78f85a3006cd2ae1e5,3954
optprloc.bch,coconutbenchmark-library2,optprloc.bch,88717956a400d81ea8964f7262356a54,5049
orthregb.bch,coconutbenchmark-library2,orthregb.bch,8fd8024bbca02b724ec19ecf3f28ef3d,2332
orthrege.bch,coconutbenchmark-library2,orthrege.bch,62ffda4d73c53433d2b39d3ef6b18328,3596
pentagon.bch,coconutbenchmark-library2,pentagon.bch,0a75a47680e1544e684e1c8574e3052c,1007
polak1.bch,coconutbenchmark-library2,polak1.bch,c69f2ea23300996eec77e1446cbfaa5b,203
polak2.bch,coconutbenchmark-library2,polak2.bch,211562d77a32dd59ddb5620a01ccc4de,468
polak3.bch,coconutbenchmark-library2,polak3.bch,d71bbcf07a17e199236aa3e9346dff98,8257
polak4.bch,coconutbenchmark-library2,polak4.bch,d50063b239c0e7ab512380a945216322,266
polak5.bch,coconutbenchmark-library2,polak5.bch,2dff35beb12cd8470f8eb76ff9b2fc96,179
polak6.bch,coconutbenchmark-library2,polak6.bch,59841491208f69e60b2b26a79c040b4f,852
portfl1.bch,coconutbenchmark-library2,portfl1.bch,8608649a4fbe4881e9270425e4aabaf2,19479
rk23.bch,coconutbenchmark-library2,rk23.bch,fe55d5d93449173fa636f4d67d39ae28,753
robot.bch,coconutbenchmark-library2,robot.bch,2d28748533c0890d439908d7afd27c9a,370
s365mod.bch,coconutbenchmark-library2,s365mod.bch,43dfa2a5d6092c287f9ecac40d97b750,492
synthes1.bch,coconutbenchmark-library2,synthes1.bch,bf593586ed09d7e637ad583f7020c616,431
